Player_name,forecast,state
Santi Aldama,None,None
Deandre Ayton,0.6119821547224903,None
Charles Bassey,None,None
Steven Adams,None,None
RJ Barrett,None,None
Ryan Arcidiacono,None,None
Deni Avdija,None,None
Dominick Barlow,None,None
Nicolas Batum,None,None
Scottie Barnes,None,None
Ochai Agbaji,None,None
Darius Bazley,None,None
Paolo Banchero,None,None
Lonzo Ball,None,None
Desmond Bane,0.487256301417332,None
Bam Adebayo,0.5579296231965846,None
Grayson Allen,None,None
O.G. Anunoby,None,None
Udoka Azubuike,None,None
Keita Bates-Diop,None,None
MarJon Beauchamp,None,None
Will Barton,None,None
Precious Achiuwa,None,None
Marvin Bagley III,None,None
Cole Anthony,None,None
Kyle Anderson,None,None
Malik Beasley,None,None
LaMelo Ball,None,None
Jarrett Allen,None,None
Jose Alvarado,None,None
Giannis Antetokounmpo,None,None
Nickeil Alexander-Walker,None,None
Patrick Beverley,0.4246952656528011,Hot
Thanasis Antetokounmpo,None,None
Kostas Antetokounmpo,None,None
Dalano Banton,None,None
Harrison Barnes,None,None
Kent Bazemore,None,None
Davis Bertans,None,None
Patrick Baldwin Jr.,None,None
Bradley Beal,None,None
Mo Bamba,None,None
